model,n_train,train_seconds,inference_seconds,roc_auc,accuracy,f1,pr_auc
linear_svm,1000,0.0024792500043986365,0.0022918330068932846,0.6650426714886963,0.626075,0.6743593651346586,0.6646501110240208
linear_svm,2000,0.002657375007402152,0.0006676659977529198,0.6771265383371234,0.6382,0.678614257161892,0.6774457370650778
linear_svm,5000,0.0057695829891599715,0.0006321659893728793,0.6735380137694704,0.63365,0.6755236703423232,0.66911550329363
linear_svm,10000,0.010535041990806349,0.0006899169966345653,0.6780871445294034,0.636425,0.6806613820513383,0.6772353567877952
linear_svm,20000,0.02689079199626576,0.0006883330061100423,0.681644215298131,0.640575,0.6881141939822548,0.6787933504402834
linear_svm,40000,0.04630791599629447,0.0007571669993922114,0.6821921248751683,0.642425,0.6899885124737196,0.6797712432073075
linear_svm,80000,0.12301766700693406,0.000804082999820821,0.68239293158573,0.639725,0.6862194351906286,0.6814268676708854
linear_svm,160000,0.2178514169936534,0.0008415839984081686,0.6822743973387794,0.640825,0.6870275569110119,0.6801854249695838
rbf_svm,1000,0.07353520899778232,1.4271680420060875,0.6454600343819793,0.60665,0.6473304343927915,0.6565156383179566
rbf_svm,2000,0.27293816600285936,2.7173170419991948,0.6705160714152472,0.629775,0.6694198272205728,0.6671139789948947
rbf_svm,5000,1.7809030000062194,6.384768582996912,0.7092582116492546,0.6583,0.6932261974233515,0.7061796143037149
rbf_svm,10000,7.466966708001564,13.016868207996595,0.7261963783236651,0.67075,0.712357489188835,0.7257467572492671
rbf_svm,20000,30.064354665999417,24.848115083004814,0.7401555421833228,0.6807,0.7220819914701019,0.740324218014754
rbf_svm,40000,126.71095033299935,49.28325795898854,0.7512153183838126,0.688025,0.7251139943168051,0.7510669900209197
knn,1000,0.00029237499984446913,0.1812294999981532,0.6028955151876314,0.579475,0.6637346820462587,0.6064172155008075
knn,2000,0.00021733299945481122,0.1150868749973597,0.6177196723121609,0.5848,0.6529298670901947,0.6242143080430965
knn,5000,0.0002410420129308477,0.20121604199812282,0.6461525872919103,0.60535,0.6761846153846154,0.6467903914061223
knn,10000,0.0003213339950889349,0.3361164160014596,0.6585089366874104,0.61465,0.680538860103627,0.6582525816202118
knn,20000,0.0005172079982003197,0.5933823329978622,0.6734421512883586,0.62635,0.6844172297297297,0.6729766504641652
knn,40000,0.0009027920023072511,1.1211483749939362,0.6871480306795554,0.635875,0.6885757659988454,0.6860071958602711
knn,80000,0.003403042006539181,2.2398720829951344,0.7021802905118616,0.6493,0.6993441639161558,0.699644657774392
knn,160000,0.004081709004822187,4.4703874999977415,0.7155378155059504,0.6571,0.703360872010035,0.7149597880890781
decision_tree,1000,0.007501083993702196,0.0027281670045340434,0.6559998924034787,0.6271,0.6790187217559716,0.668562191071491
decision_tree,2000,0.014343417002237402,0.0033603329939069226,0.6848821532797721,0.62455,0.6594866678759296,0.7021688183612393
decision_tree,5000,0.04996208299417049,0.004061166997416876,0.7030666475801975,0.644425,0.667973947755445,0.7136606073544294
decision_tree,10000,0.12168945799930952,0.004237832996295765,0.7251450951003389,0.6623,0.687964887964888,0.7397493645700708
decision_tree,20000,0.2499240000033751,0.004499583010328934,0.7336674769637792,0.6695,0.6879278598744157,0.7446061506301465
decision_tree,40000,0.5665355839882977,0.00457858300069347,0.7419810149825649,0.67745,0.692531337877127,0.7556260206327717
decision_tree,80000,1.2225285830063513,0.00495279100141488,0.7513178962422166,0.68375,0.7048254620123203,0.765301806654662
decision_tree,160000,2.6199682079895865,0.005199459003051743,0.7633671930055239,0.698325,0.7181858520750134,0.7752246616546741
random_forest,1000,0.17864795800414868,0.09998920799989719,0.7316951386750492,0.668625,0.7015647866711696,0.7516297815460862
random_forest,2000,0.14890037500299513,0.1067264589946717,0.7471395044703659,0.6838,0.7100412654745529,0.7651935194265418
random_forest,5000,0.2608369589870563,0.12730570799612906,0.7664258385647125,0.6965,0.7212143480457447,0.7840703377743224
random_forest,10000,0.5135470410023117,0.15303012500226032,0.7749131336790843,0.700775,0.7213465881312132,0.7920959313006576
random_forest,20000,1.1504818329995032,0.16758837499946821,0.7851684515713138,0.709125,0.728958464369744,0.8015547405824073
random_forest,40000,2.5576906250062166,0.200045958001283,0.7937938803036355,0.7164,0.7351636550403885,0.8101608197771721
random_forest,80000,6.047506832997897,0.2522264580038609,0.7998845456721213,0.721525,0.7403678064471017,0.8158034713683512
random_forest,160000,13.705065333997482,0.31424774999322835,0.8051769978451226,0.72665,0.7446520317608594,0.8204941487084174
xgboost,1000,0.6784275000100024,0.058051500003784895,0.7311597155614479,0.67155,0.6950041786609713,0.7487762230330414
xgboost,2000,0.7392809579905588,0.05873458299902268,0.7383356837153856,0.67335,0.6933439729628239,0.7595006652798787
xgboost,5000,0.8769591250020312,0.0538705830113031,0.7618580163578063,0.689875,0.7085633736638083,0.7822092932032599
xgboost,10000,0.9843217080051545,0.05182083399267867,0.7799361882402396,0.7051,0.7216611609249646,0.7965844804524874
xgboost,20000,1.118140124992351,0.05186545899778139,0.7917117095425636,0.7148,0.7317405822320463,0.8072513444817004
xgboost,40000,1.327195291989483,0.05338191700866446,0.8023741924852859,0.724025,0.7413118365242659,0.8179469945533748
xgboost,80000,1.6093499590060674,0.05315037500986364,0.8093612058485105,0.730425,0.7475357636206129,0.8241435404581705
xgboost,160000,2.165825167001458,0.05388562499138061,0.8175399459923149,0.736875,0.7531486736871731,0.8315795220251478
